"","Title","Genre","Developer(s)","Publisher(s)","Release date","Release date","Release date"
"699","RoboCop","First-person shooter","Titus Interactive Studio","Titus Interactive","December 12, 2003","Unreleased","July 24, 2003"
"700","Robot Wars: Extreme Destruction","Action","Climax Studios","Gamezlab","November 22, 2002","Unreleased","Unreleased"
"701","Robotech: Battlecry","Shooter/Action","Vicious Cycle Software","TDK Mediactive","October 25, 2002","Unreleased","September 25, 2002"
"702","Robotech: Invasion","First-person shooter","Vicious Cycle Software","Global Star Software","August 17, 2004","Unreleased","October 5, 2004"
"703","Robots","Platformer","Eurocom","Vivendi Universal Games","March 11, 2005","Unreleased","February 24, 2005"
"704","Rocky","Fighting","Rage Software","Ubisoft","November 17, 2002","Unreleased","October 18, 2002"
"705","Rocky: Legends","Fighting","Venom Games","Ubisoft","October 1, 2004","Unreleased","September 28, 2004"
"706","Rogue Ops","Stealth","Bits Studios","Kemco","February 6, 2004","February 26, 2004","October 29, 2003"
"707","Rogue Trooper","Third-person shooter","Rebellion Developments","Eidos Interactive","April 21, 2006","Unreleased","May 23, 2006"
"708","RollerCoaster Tycoon","Construction/Management Simulation","Frontier Developments","Infogrames","March 25, 2003","Unreleased","March 25, 2003"
"709","Rolling","Sports","Rage Software","Rage Software","October 24, 2003","Unreleased","Unreleased"
"710","Room Zoom","Racing/Action","Blade Interactive","Jaleco","July 14, 2004","Unreleased","July 14, 2004"
"711","Rugby 06","Sports","EA Canada, HB Studios","EA Sports","February 16, 2006","Unreleased","February 14, 2006"
"712","Rugby 2005","Sports","EA Canada","EA Games","March 18, 2005","Unreleased","March 8, 2005"
"713","Rugby Challenge 2006","Sports","Swordfish Studios","Hip Interactive, Ubisoft","February 3, 2006","Unreleased","Unreleased"
"714","Rugby League","Sports","Sidhe Interactive","Home Entertainment Suppliers, Tru Blu Entertainment","December 19, 2003","Unreleased","Unreleased"
"715","Rugby League 2","Sports","Sidhe Interactive","Home Entertainment Suppliers","July 21, 2006","Unreleased","Unreleased"
"716","Samurai Shodown V","Fighting","SNK Playmore","SNK Playmore","May 26, 2006","Unreleased","January 18, 2006"
"717","Samurai Warriors","Hack and slash","Omega Force","Koei","September 24, 2004","July 29, 2004","July 13, 2004"
"718","Scaler","Platformer","A2M","NA: Take-Two InteractivePAL: Global Star Software","November 26, 2004","Unreleased","October 20, 2004"
"719","Scarface: The World Is Yours","Action-Adventure/Third-person shooter","Radical Entertainment","Vivendi Games","October 13, 2006","Unreleased","October 10, 2006"
"720","Scooby-Doo! Mystery Mayhem","Adventure","A2M","THQ","March 26, 2004","Unreleased","March 2, 2004"
"721","Scooby-Doo! Night of 100 Frights","Platformer","Heavy Iron Studios","THQ","Unreleased","Unreleased","August 27, 2003"
"722","Scooby-Doo! Unmasked","Platformer","A2M","THQ","September 16, 2005","Unreleased","September 12, 2005"
"723","American McGee Presents: Scrapland","Action-Adventure","Mercury Steam Entertainment","Enlight","March 18, 2005","Unreleased","February 28, 2005"
"724","SeaBlade","Action/Shooter/Third-Person","Simon & Schuster","Simon & Schuster","April 7, 2003","Unreleased","November 20, 2002"
"725","SeaWorld: Shamu's Deep Sea Adventures","Action","Activision","Activision","March 17, 2006","Unreleased","November 1, 2005"
"726","Second Sight","Third-person Action-Adventure/Stealth","Free Radical Design","Codemasters","September 21, 2004","Unreleased","September 3, 2004"
"727","Secret Weapons Over Normandy","Flight Simulation/Action","Totally Games","LucasArts","November 28, 2003","Unreleased","November 18, 2003"
"728","Sega GT 2002","Racing","Wow Entertainment","Sega","November 8, 2002","September 12, 2002","September 2, 2002"
"729","Sega GT Online","Racing","Wow Entertainment","Sega","March 17, 2006","March 17, 2006","November 1, 2005"
"730","Sega Soccer Slam","Sports","Black Box Games","Sega","October 11, 2002","Unreleased","August 22, 2002"
"731","Sensible Soccer 2006","Sports","Kuju Entertainment","Codemasters","June 9, 2006","Unreleased","Unreleased"
"732","Sentou Yousei Yukikaze: Yousei no Mau Sora","Cel-shaded flight combat","Aquasystem","Aquasystem","Unreleased","August 7, 2003","Unreleased"
"733","Serious Sam","First-person shooter","Croteam","Gathering of Developers","December 6, 2002","Unreleased","November 10, 2002"
"734","Serious Sam II","First-person shooter","Croteam","2K Games","October 14, 2005","Unreleased","October 11, 2005"
"735","Shadow of Memories","Adventure","Konami","Konami","November 8, 2002","Unreleased","Unreleased"
"736","Shadow Ops: Red Mercury","First-person shooter","Zombie Studios","Atari","June 18, 2004","Unreleased","June 15, 2004"
"737","Shadow the Hedgehog","Platformer/Action-Adventure/Third-person shooter","Sega Studio USA","Sega","November 18, 2005","Unreleased","November 15, 2005"
"738","Shark Tale","Action-Adventure","Edge of Reality","Activision","October 1, 2004","Unreleased","September 27, 2004"
"739","Shattered Union","Turn-based tactics","PopTop Software","2K Games","October 21, 2005","Unreleased","October 17, 2005"
"740","Shellshock: Nam '67","Third-person shooter","Guerrilla Games","Eidos Interactive","September 3, 2004","Unreleased","September 14, 2004"
"741","Shenmue II","Third-person Action-Adventure/Life Simulation/Social Simulation","Sega AM2","Xbox Game Studios","March 21, 2003","Unreleased","October 28, 2002"
"742","Shikigami no Shiro","Shoot'em up","Alfa System","MediaQuest","Unreleased","March 14, 2002","Unreleased"
"743","Shikigami no Shiro Evolution Blue","Shoot'em up","Alfa System","MediaQuest","Unreleased","December 19, 2002","Unreleased"
"744","Shikigami no Shiro Evolution Red","Shoot'em up","Alfa System","MediaQuest","Unreleased","December 19, 2002","Unreleased"
"745","Shikigami no Shiro II","Shoot'em up","Alfa System","MediaQuest","Unreleased","April 15, 2004","Unreleased"
"746","Shinchou Mahjong (Nobunaga Mahjong)","Tabletop game","Success","E-Frontier","Unreleased","April 24, 2003","Unreleased"
"747","Shin Megami Tensei: Nine","RPG","Next Entertainment","Atlus","Unreleased","December 5, 2002","Unreleased"
"748","Showdown: Legends of Wrestling","Sports","Acclaim Studios Austin","Acclaim Entertainment","July 2, 2004","Unreleased","June 22, 2004"
"749","Shrek","Platformer","Digital Illusions CE","TDK Mediactive","March 27, 2002","Unreleased","November 15, 2001"
"750","Shrek 2","Action-Adventure/Beat 'em up/Platformer","Luxoflux","Activision","June 18, 2004","December 16, 2004","April 28, 2004"
"751","Shrek Super Party","Party game","Mass Media","TDK Mediactive","November 29, 2002","Unreleased","November 29, 2002"
"752","Shrek SuperSlam","Fighting","Shaba Games","Activision","November 18, 2005","Unreleased","October 25, 2005"
"753","Sid Meier's Pirates!","Action-Adventure/Strategy","Firaxis Games","2K Games","July 11, 2005","Unreleased","July 11, 2005"
"754","Silent Hill 2","Survival Horror","Konami","Konami","October 14, 2002","February 22, 2002","December 20, 2001"
"755","Silent Hill 4: The Room","Survival Horror","Konami","Konami","September 17, 2004","Unreleased","September 7, 2004"
"756","Silent Scope Complete","Rail Shooter","Konami","Konami","March 19, 2004","Unreleased","February 10, 2004"
"757","The Simpsons: Hit & Run","Action-Adventure/Racing","Radical Entertainment","Vivendi Universal Games","October 31, 2003","December 25, 2003","September 16, 2003"
"758","The Simpsons: Road Rage","Vehicular combat","Radical Entertainment","Electronic Arts","March 22, 2002","Unreleased","December 1, 2001"
"759","The Sims","Simulation","Edge of Reality","EA Games","April 4, 2003","Unreleased","March 25, 2003"
"760","The Sims 2","Simulation","Maxis","Electronic Arts","November 4, 2005","Unreleased","October 24, 2005"
"761","The Sims Bustin' Out","Simulation","Maxis","EA Games","December 19, 2003","Unreleased","December 15, 2003"
"762","Ski Racing 2005","Alpine Skiing","ColdWood Interactive","JoWooD Productions","March 24, 2005","Unreleased","Unreleased"
"763","Ski Racing 2006","Alpine Skiing","ColdWood Interactive","JoWooD ProductionsDeep Silver","November 25, 2005","Unreleased","Unreleased"
"764","Slam Tennis","Sports","Infogrames Sheffield House","Infogrames","August 23, 2002","Unreleased","Unreleased"
"765","Smashing Drive","Racing","Point of View","Namco","Unreleased","Unreleased","May 13, 2002"
"766","Sneak King","Stealth/Action","Blitz Games","King Games","Unreleased","Unreleased","November 19, 2006"
"767","Sneakers","Puzzle","Media.Vision","Xbox Game Studios","October 22, 2002","February 22, 2002","October 22, 2002"
"768","Sniper Elite","Stealth/Tactical shooter","Rebellion Developments","Namco","May 30, 2005","Unreleased","October 18, 2005"
"769","Soldier of Fortune II: Double Helix","First-person shooter","Gratuitous Games","Activision","June 27, 2003","Unreleased","June 18, 2002"
"770","Sonic Heroes","Platformer","Sonic Team","Sega","February 6, 2004","December 30, 2003","January 27, 2004"
"771","Sonic Mega Collection Plus","Compilation","Sonic Team","Sega","February 4, 2005","December 9, 2004","November 2, 2004"
"772","Sonic Riders","Racing","Sonic Team","Sega","March 17, 2006","February 23, 2006","February 21, 2006"
"773","Soul Calibur II","Fighting","Namco","Namco","September 26, 2003","March 27, 2003","August 27, 2003"
"774","Spartan: Total Warrior","Action/Hack and slash","The Creative Assembly","Sega","October 7, 2005","Unreleased","October 27, 2005"
"775","Spawn: Armageddon","Action-Adventure/Hack and slash","Point of View","Namco","March 12, 2004","Unreleased","November 21, 2003"
"776","Special Forces: Nemesis Strike Counter Terrorist Special Forces: Fire for Effect (EUR)","Third-person shooter","Asobo Studio","Hip Games","April 1, 2005","Unreleased","March 22, 2005"
"777","Speed Kings","Racing","Climax Group","Acclaim Entertainment","June 3, 2003","Unreleased","May 23, 2003"
"778","Sphinx and the Cursed Mummy","Action-Adventure","Eurocom","THQ","February 20, 2004","Unreleased","November 10, 2003"
"779","Spider-Man","Third-person Action-Adventure","Treyarch","Activision","June 7, 2002","February 13, 2003","April 15, 2002"
"780","Spider-Man 2","Third-person Action-Adventure","Treyarch","Activision","July 9, 2004","September 30, 2004","June 28, 2004"
"781","Spikeout: Battle Street","Beat 'em up","Dimps","Sega","April 22, 2005","March 24, 2005","March 29, 2005"
"782","Splashdown","Racing (Jetski)","Rainbow Studios","Infogrames","August 30, 2002","Unreleased","June 25, 2002"
"783","Splat Magazine Renegade Paintball","First-person shooter","Cat Daddy Games","Take-Two Interactive","Unreleased","Unreleased","October 11, 2005"
"784","SpongeBob SquarePants: Battle for Bikini Bottom","Platformer/Third-person Action-Adventure","Heavy Iron Studios","THQ","November 10, 2003","Unreleased","November 10, 2003"
"785","SpongeBob SquarePants: Lights, Camera, Pants!","Party game","WayForward Technologies","THQ","October 21, 2005","Unreleased","October 21, 2005"
"786","The SpongeBob SquarePants Movie Game","Platformer/Adventure","Heavy Iron Studios","THQ","February 18, 2005","Unreleased","February 6, 2005"
"787","Spy Hunter","Vehicular combat","Paradigm Entertainment","Midway Games","June 28, 2002","Unreleased","March 10, 2002"
"788","Spy Hunter 2","Vehicular combat","Angel Studios","Midway Games","March 5, 2004","Unreleased","November 20, 2003"
"789","Spy Hunter: Nowhere to Run","Vehicular combat","Terminal Reality","Midway Games","September 8, 2006","Unreleased","September 5, 2006"
"790","Spy vs. Spy","Platformer","Vicious Cycle Software","Global Star Software","April 29, 2005","April 29, 2005","April 29, 2005"
"791","Spyro: A Hero's Tail","Platformer","Eurocom","Vivendi Universal Games","November 12, 2004","Unreleased","November 3, 2004"
"792","SSX 3","Sports","EA Canada","EA Sports","October 31, 2003","Unreleased","October 20, 2003"
"793","SSX On Tour","Sports","EA Canada","EA Sports","October 21, 2005","Unreleased","October 11, 2005"
"794","SSX Tricky","Sports","EA Canada","EA Sports","June 14, 2002","Unreleased","December 10, 2001"
"795","Stacked with Daniel Negreanu","Poker","5000 ft","Myelin Media","Unreleased","Unreleased","May 30, 2006"
"796","Stake: Fortune Fighters","Fighting","Gameness Art","Metro3D, Inc.","June 6, 2003","Unreleased","March 1, 2003"
"797","Star Trek: Shattered Universe","Space Combat Simulator","Starsphere","TDK","April 17, 2004","Unreleased","January 14, 2004"
"798","Star Wars: Jedi Knight: Jedi Academy","Third-person shooter/First-person shooter","Vicarious Visions","LucasArts","November 21, 2003","September 2, 2004","November 19, 2003"
"799","Star Wars: Jedi Knight II: Jedi Outcast","Third-person shooter/First-person shooter/Hack and slash","Vicarious Visions","LucasArts","November 22, 2002","Unreleased","November 20, 2002"
"800","Star Wars: Battlefront","Third-person shooter/First-person shooter","Pandemic Studios","LucasArts","September 24, 2004","October 7, 2004","September 20, 2004"
"801","Star Wars: Battlefront II","Third-person shooter/First-person shooter","Pandemic Studios","LucasArts","October 31, 2005","Unreleased","November 1, 2005"
"802","Star Wars: Episode III: Revenge of the Sith","Action","The Collective","LucasArts","May 6, 2005","Unreleased","May 4, 2005"
"803","Star Wars: Jedi Starfighter","Action","LucasArts","LucasArts","May 31, 2002","Unreleased","May 13, 2002"
"804","Star Wars: Knights of the Old Republic","Action RPG","BioWare","LucasArts","September 12, 2003","Unreleased","July 15, 2003"
"805","Star Wars: Knights of the Old Republic II: The Sith Lords","Action RPG","Obsidian Entertainment","LucasArts","February 11, 2005","Unreleased","December 6, 2004"
"806","Star Wars: Obi-Wan","Third-person Action-Adventure","LucasArts","LucasArts","March 14, 2002","Unreleased","December 19, 2001"
"807","Star Wars: Republic Commando","First-person shooter","LucasArts","LucasArts","March 4, 2005","Unreleased","March 1, 2005"
"808","Star Wars: Starfighter","Action","LucasArts","LucasArts","Unreleased","Unreleased","November 26, 2001"
"809","Star Wars: The Clone Wars","Action","Pandemic Studios","LucasArts","May 9, 2003","Unreleased","April 22, 2003"
"810","Starsky & Hutch","Vehicular combat","Mind's Eye Productions","Empire Interactive","June 20, 2003","Unreleased","September 9, 2003"
"811","State of Emergency","Beat 'em up","VIS Entertainment","Rockstar Games","April 4, 2003","Unreleased","March 26, 2003"
"812","Steel Battalion","First-person shooter","Capcom, Nude Maker","Capcom, Xbox Game Studios","March 28, 2003","September 12, 2002","November 21, 2002"
"813","Steel Battalion: Line of Contact","First-person shooter","Capcom, Nude Maker","Capcom","March 26, 2004","February 26, 2004","February 27, 2004"
"814","Still Life","Adventure","Microïds","The Adventure Company","June 3, 2005","Unreleased","June 6, 2005"
"815","Stolen","Stealth","Blue 52","Hip Interactive","April 1, 2005","Unreleased","April 22, 2005"
"816","Street Fighter Anniversary Collection","Fighting","Capcom","Capcom","October 29, 2004","October 28, 2004","February 22, 2005"
"817","Street Hoops","Sports","Black Ops Entertainment","Activision","October 4, 2002","Unreleased","August 12, 2002"
"818","Street Racing Syndicate","Racing","Eutechnyx","Namco","May 6, 2005","Unreleased","August 31, 2004"
"819","Strike Force Bowling","Sports","LAB Rats Games","Crave Entertainment","Unreleased","Unreleased","May 10, 2004"
"820","Stubbs the Zombie in Rebel Without a Pulse","Action","Wideload","Aspyr","February 10, 2006","Unreleased","October 18, 2005"
"821","Sudeki","Action RPG","Climax","Xbox Game Studios","August 24, 2004","July 14, 2005","July 20, 2004"
"822","The Suffering","Third-person shooter/First-person shooter/Survival Horror","Surreal Software","Midway Games","May 14, 2004","Unreleased","March 9, 2004"
"823","The Suffering: Ties That Bind","Third-person shooter/First-person shooter/Survival Horror","Surreal Software","Midway Games","October 28, 2005","Unreleased","September 26, 2005"
"824","Super Bubble Pop","Puzzle","Zombie Studios","Jaleco","March 15, 2003","Unreleased","December 25, 2002"
"825","Super Monkey Ball Deluxe","Platformer","Sega","Sega","August 26, 2005","March 24, 2005","March 15, 2005"
"826","Superman Returns","Action","EA Tiburon","EA Games","December 8, 2006","Unreleased","November 20, 2006"
"827","Superman: The Man of Steel","Action-Adventure","Circus Freak","Infogrames","December 13, 2002","Unreleased","November 19, 2002"
"828","SVC Chaos: SNK vs. Capcom","Fighting","Playmore","Playmore","March 18, 2005","October 7, 2004","September 28, 2004"
"829","SWAT: Global Strike Team","Tactical shooter","Argonaut Games","Vivendi Universal Games","December 5, 2003","Unreleased","October 28, 2003"
"830","SX Superstar","Racing","Climax Studios","AKA Acclaim","July 4, 2003","Unreleased","June 26, 2003"
"831","Syberia","Adventure","Microïds","XS Games","June 6, 2003","Unreleased","July 23, 2003"
"832","Syberia II","Adventure","Microïds","XS Games","November 26, 2004","Unreleased","October 5, 2004"
"833","Taito Legends","Arcade Compilations","Taito Corporation","Empire Interactive, Sega","October 14, 2005","Unreleased","October 25, 2005"
"834","Taito Legends 2","Arcade Compilations","Taito Corporation","Empire Interactive","March 31, 2006","Unreleased","Unreleased"
"835","Tak: The Great Juju Challenge","Action-Adventure","Avalanche Software","THQ","March 3, 2006","Unreleased","September 19, 2005"
"836","Tak 2: The Staff of Dreams","Action-Adventure","Avalanche Software","THQ","March 24, 2005","Unreleased","October 11, 2004"
"837","Takahashi Akiko no Mahjong Seminar","Tabletop game","Success","Success","Unreleased","June 13, 2002","Unreleased"
"838","Tao Feng: Fist of the Lotus","Fighting","Studio Gigante","Xbox Game Studios","May 9, 2003","October 23, 2003","March 18, 2003"
"839","Taz: Wanted","Action-Adventure","Blitz Games","Infogrames","September 27, 2002","Unreleased","September 18, 2002"
"840","Tecmo Classic Arcade","Arcade Compilations","Tecmo","Tecmo","October 21, 2005","October 27, 2005","September 13, 2005"
"841","Teen Titans","Action/Beat 'em up","Artificial Mind and Movement","THQ, Majesco Entertainment","November 10, 2006","Unreleased","November 13, 2006"
"842","Teenage Mutant Ninja Turtles","Action/Beat 'em up","Konami","Konami","April 16, 2004","Unreleased","October 21, 2003"
"843","Teenage Mutant Ninja Turtles: Mutant Melee","Fighting","KCE Hawaii","Konami","Unreleased","Unreleased","March 15, 2005"
"844","Teenage Mutant Ninja Turtles 2: Battle Nexus","Beat 'em up/Platformer","Konami","Konami","March 11, 2005","Unreleased","October 19, 2004"
"845","Teenage Mutant Ninja Turtles 3: Mutant Nightmare","Beat 'em up","Konami","Konami","April 14, 2006","Unreleased","November 1, 2005"
"846","Tenchu: Return from Darkness","Third-person Action-Adventure/Stealth","K2 LLC","Activision, FromSoftware (JP)","March 19, 2004","May 27, 2004","March 10, 2004"
"847","Tenerezza","Action/RPG","Aqua Plus","Aqua Plus","Unreleased","January 29, 2003","Unreleased"
"848","Tennis Masters Series 2003","Sports","Microids","Hip Games","November 30, 2002","Unreleased","August 7, 2003"
"849","The Terminator: Dawn of Fate","Action","Paradigm Entertainment","Infogrames","October 25, 2002","Unreleased","September 18, 2002"
"850","Terminator 3: Rise of the Machines","First-person shooter","Black Ops Entertainment","Atari","November 28, 2002","Unreleased","November 11, 2003"
"851","Terminator 3: The Redemption","Action-Adventure","Paradigm Entertainment","Atari","September 24, 2004","Unreleased","September 2, 2004"
"852","Test Drive","Racing","Pitbull Syndicate","Infogrames","July 5, 2002","Unreleased","May 27, 2002"
"853","Test Drive: Eve of Destruction","Racing","Monster Games","Atari","Unreleased","Unreleased","August 25, 2004"
"854","Test Drive Off-Road Wide Open","Racing","Angel Studios","Infogrames","May 24, 2002","Unreleased","November 15, 2001"
"855","Tetris Worlds","Puzzle","Radical Entertainment","THQ","September 20, 2002","November 14, 2002","June 24, 2002"
"856","Tetris Worlds (Online Edition)","Puzzle","Radical Entertainment","THQ","October 3, 2003","Unreleased","June 13, 2003"
"857","Thief: Deadly Shadows","Stealth","Ion Storm","Eidos Interactive","June 11, 2004","Unreleased","May 25, 2004"
"858","The Thing","Third-person shooter/Survival Horror","Computer Artworks","Vivendi Universal Games","September 20, 2002","Unreleased","September 9, 2002"
"859","Thousand Land","Strategy","FromSoftware","FromSoftware","Unreleased","March 20, 2003","Unreleased"
"860","Thrillville","Strategy/Action/Party game","Frontier Developments","LucasArts","Unreleased","Unreleased","November 21, 2006"
"861","Tiger Woods PGA Tour 2003","Sports","EA Sports","EA Games","November 22, 2002","Unreleased","October 27, 2002"
"862","Tiger Woods PGA Tour 2004","Sports","EA Sports","EA Games","September 26, 2003","Unreleased","September 22, 2003"
"863","Tiger Woods PGA Tour 2005","Sports","EA Sports","EA Games","September 24, 2004","Unreleased","September 20, 2004"
"864","Tiger Woods PGA Tour 06","Sports","EA Sports","EA Games","October 7, 2005","Unreleased","September 20, 2005"
"865","Tiger Woods PGA Tour 07","Sports","EA Sports","EA Games","September 22, 2006","Unreleased","October 10, 2006"
"866","Tim Burton's The Nightmare Before Christmas: Oogie's Revenge","Action-Adventure","Capcom","Buena Vista GamesCapcom (EU)","September 30, 2005","Unreleased","October 10, 2005"
"867","TimeSplitters 2","First-person shooter","Free Radical","Eidos Interactive","October 18, 2002","Unreleased","October 17, 2002"
"868","TimeSplitters: Future Perfect","First-person shooter","Free Radical","EA Games","March 24, 2005","Unreleased","March 21, 2005"
"869","TOCA Race Driver 2: The Ultimate Racing Simulator","Racing","Codemasters","Codemasters","April 23, 2004","Unreleased","April 13, 2004"
"870","TOCA Race Driver 3","Racing","Codemasters","Codemasters","February 24, 2006","Unreleased","February 22, 2006"
"871","ToeJam & Earl III: Mission to Earth","Action-Adventure/Platformer","ToeJam & Earl Productions","Sega","March 7, 2003","Unreleased","October 23, 2002"
"872","Tom and Jerry in War of the Whiskers","Fighting","VIS Entertainment","NewKidCo","Unreleased","Unreleased","December 6, 2003"
"873","Tom Clancy's Classic Trilogy","Tactical shooter","Ubisoft","Ubisoft","Unreleased","Unreleased","November 16, 2004"
"874","Tom Clancy's Ghost Recon","Tactical shooter","Red Storm Entertainment","Ubisoft","December 6, 2002","September 25, 2002","November 11, 2002"
"875","Tom Clancy's Ghost Recon 2","Tactical shooter","Red Storm Entertainment","Ubisoft","November 26, 2004","Unreleased","November 16, 2004"
"876","Tom Clancy's Ghost Recon 2: Summit Strike","Tactical shooter","Red Storm Entertainment","Ubisoft","August 26, 2005","Unreleased","August 2, 2005"
"877","Tom Clancy's Ghost Recon: Advanced Warfighter","Tactical shooter","Ubisoft","Ubisoft","March 17, 2006","Unreleased","March 9, 2006"
"878","Tom Clancy's Ghost Recon: Island Thunder","Tactical shooter","Red Storm Entertainment","Ubisoft","September 5, 2003","March 11, 2004","August 6, 2003"
"879","Tom Clancy's Rainbow Six 3","Tactical shooter","Ubisoft","Ubisoft","November 7, 2003","July 8, 2004","November 12, 2003"
"880","Tom Clancy's Rainbow Six 3: Black Arrow","Tactical shooter","Ubisoft","Ubisoft","August 20, 2004","March 10, 2005","August 4, 2004"
"881","Tom Clancy's Rainbow Six: Critical Hour","Tactical shooter","Ubisoft Quebec, Red Storm Entertainment","Ubisoft","Unreleased","Unreleased","March 14, 2006"
"882","Tom Clancy's Rainbow Six: Lockdown","Tactical shooter","Red Storm Entertainment","Ubisoft","September 9, 2005","September 22, 2005","September 6, 2005"
"883","Tom Clancy's Splinter Cell","Stealth","Ubisoft Montreal","Ubisoft","November 29, 2002","November 27, 2003","November 17, 2002"
"884","Tom Clancy's Splinter Cell: Chaos Theory","Stealth","Ubisoft Montreal, Ubisoft Annecy","Ubisoft","April 1, 2005","November 17, 2005","March 31, 2005"
"885","Tom Clancy's Splinter Cell: Double Agent","Stealth","Ubisoft","Ubisoft","October 26, 2006","Unreleased","October 24, 2006"
"886","Tom Clancy's Splinter Cell: Pandora Tomorrow","Stealth","Ubisoft","Ubisoft","March 26, 2004","April 7, 2005","March 23, 2004"
"887","Tomb Raider: Legend","Third-person Action-Adventure","Crystal Dynamics","Eidos Interactive","April 7, 2006","Unreleased","April 11, 2006"
"888","Tony Hawk's American Wasteland","Sports","Neversoft","Activision","October 28, 2005","Unreleased","October 18, 2005"
"889","Tony Hawk's Pro Skater 2x","Sports","Neversoft","Activision","Unreleased","Unreleased","November 15, 2001"
"890","Tony Hawk's Pro Skater 3","Sports","Neversoft","Activision","March 14, 2002","Unreleased","March 4, 2002"
"891","Tony Hawk's Pro Skater 4","Sports","Neversoft","Activision","November 15, 2002","Unreleased","October 23, 2002"
"892","Tony Hawk's Project 8","Sports","Shaba Games","Activision","November 17, 2006","Unreleased","November 7, 2006"
"893","Tony Hawk's Underground","Sports","Neversoft","Activision","November 12, 2003","May 20, 2004","October 27, 2003"
"894","Tony Hawk's Underground 2","Sports","Neversoft","Activision","October 8, 2004","Unreleased","October 4, 2004"
"895","Top Gear RPM Tuning RPM Tuning (EUR)","Racing","Babylon Software","MC2 France","June 3, 2005","Unreleased","February 16, 2005"
"896","Top Spin Tennis","Sports","PAM Development","Xbox Game Studios","November 7, 2003","July 15, 2004","October 28, 2003"
"897","Torino 2006","Sports","49 Games","2K Games","January 27, 2006","Unreleased","January 24, 2006"
"898","Tork: Prehistoric Punk","Platformer","Tiwak","Ubisoft","Unreleased","Unreleased","January 12, 2005"
"899","Total Club Manager 2004","Sports Manager","EA Canada","EA Sports","December 5, 2003","Unreleased","Unreleased"
"900","Total Club Manager 2005","Sports Manager","EA Canada","EA Sports","October 29, 2004","Unreleased","Unreleased"
"901","Total Immersion Racing","Racing","Razorworks","Empire Interactive","November 1, 2002","Unreleased","November 18, 2002"
"902","Total Overdose: A Gunslinger's Tale in Mexico","Third-person shooter","Deadline Games","Eidos Interactive","September 16, 2005","Unreleased","September 27, 2005"
"903","Totaled!","Racing/Vehicular combat","Rage Software","Majesco Entertainment","June 7, 2002","Unreleased","July 29, 2002"
"904","Touge R","Racing","Cave, Nextech","Atlus","Unreleased","December 12, 2002","Unreleased"
"905","Tour de France","Sports (Cycling)","Konami","Konami","July 26, 2002","Unreleased","Unreleased"
"906","Toxic Grind","Extreme Sports","Blue Shift","THQ","November 15, 2002","Unreleased","October 27, 2002"
"907","TransWorld Snowboarding","Sports","Housemarque","Infogrames","November 15, 2002","Unreleased","October 29, 2002"
"908","TransWorld Surf","Sports","Angel Studios","Infogrames","March 14, 2002","Unreleased","November 15, 2001"
"909","Triangle Again","Visual novel","Kiki Co., Production I.G.","Kiki Co.","Unreleased","June 27, 2002","Unreleased"
"910","Triangle Again 2","Visual novel","Kiki Co.","Kiki Co.","Unreleased","December 19, 2002","Unreleased"
"911","Trigger Man","Third-person shooter","Point of View","Crave Entertainment","Unreleased","Unreleased","October 5, 2004"
"912","Triple Play 2002","Sports/Baseball","Pandemic Studios","EA Games","Unreleased","Unreleased","March 18, 2002"
"913","Trivial Pursuit Unhinged","Board Game","Artech Studios","Atari","Unreleased","Unreleased","March 24, 2004"
"914","Tron 2.0 Killer App","First-person shooter","Climax Group","Buena Vista Interactive","November 26, 2004","Unreleased","November 4, 2004"
"915","True Crime: New York City","Action-Adventure/Third-person shooter","Luxoflux","Activision","November 25, 2005","Unreleased","November 15, 2005"
"916","True Crime: Streets of LA","Action-Adventure/Third-person shooter","Luxoflux","Activision","November 7, 2005","October 28, 2004","November 3, 2003"
"917","Turok: Evolution","First-person shooter","Acclaim Studios Austin","Acclaim Entertainment","September 6, 2002","Unreleased","August 31, 2002"
"918","Ty the Tasmanian Tiger","Platformer","Krome Studios","EA Games","November 22, 2002","Unreleased","September 10, 2002"
"919","Ty the Tasmanian Tiger 2: Bush Rescue","Platformer","Krome Studios","EA Games","November 5, 2004","Unreleased","October 12, 2004"
"920","Ty the Tasmanian Tiger 3: Night of the Quinkan","Platformer","Krome Studios","Activision Value","February 3, 2006","Unreleased","October 11, 2005"
"921","UEFA Champions League 2004-2005","Sports","EA Games","EA Games","February 4, 2005","Unreleased","Unreleased"
"922","UEFA Euro 2004","Sports","EA Canada","EA Games","May 7, 2004","May 7, 2004","May 4, 2004"
"923","UFC: Tapout","Fighting","DreamFactory","Crave Entertainment","September 20, 2002","Unreleased","February 20, 2002"
"924","UFC: Tapout 2","Fighting","DreamFactory","TDK Mediactive","Unreleased","Unreleased","March 20, 2003"
"925","Ultimate Beach Soccer","Sports","PAM Development","Wanadoo EditionDreamCatcher Interactive","November 10, 2003","Unreleased","November 10, 2003"
"926","Ultimate Pro Pinball","Pinball","Atomic Planet Entertainment","Empire Interactive","July 15, 2005","Unreleased","Unreleased"
"927","Ultimate Spider-Man","Action-Adventure","Treyarch","Activision","October 14, 2005","Unreleased","November 22, 2005"
"928","Ultra Bust-a-Move Ultra Puzzle Bobble (JP)","Puzzle","Taito Corporation","Majesco Entertainment","May 19, 2006","January 27, 2005","November 4, 2004"
